trip_id,service_type,distance_km,duree_h,traction,type_train,nom_operateur,pays_origine,pays_destination,trajet_domestique,frequence_semaine
OCESN108440F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1033:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN108444F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1741:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,2
OCESN117760F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1511:20261101,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,0
OCESN117760F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1511:20261016,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,1
OCESN117762F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1711:20261101,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,1
OCESN117762F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1711:20261016,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,1
OCESN117764F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1911:20261101,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,0
OCESN117764F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87723197:87713040:10:1911:20261016,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,2
OCESN117769F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1244:20261017,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,1
OCESN117771F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1444:20261017,Jour,174.3,2.0,,Regional,SNCF,FR,FR,True,1
OCESN117773F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1644:20261017,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,1
OCESN117775F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1843:20261115,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,1
OCESN117775F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1843:20261025,Jour,174.3,1.9,,Regional,SNCF,FR,FR,True,1
OCESN117775F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1844:20261004,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,0
OCESN117775F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1844:20261011,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,1
OCESN117775F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:1843:20261206,Jour,174.3,1.9,,Regional,SNCF,FR,FR,True,1
OCESN117777F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:2100:20261101,Jour,174.3,1.97,,Regional,SNCF,FR,FR,True,0
OCESN117777F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:2044:20261016,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,1
OCESN117777F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:2044:20261004,Jour,174.3,1.95,,Regional,SNCF,FR,FR,True,2
OCESN117777F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:2044:20260920,Jour,174.3,1.93,,Regional,SNCF,FR,FR,True,1
OCESN117777F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:2100:20260906,Jour,174.3,1.97,,Regional,SNCF,FR,FR,True,1
OCESN117779F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87722025:10:2250:20260913,Jour,175.8,2.02,,Regional,SNCF,FR,FR,True,2
OCESN117779F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87723197:10:2244:20261016,Jour,174.3,1.92,,Regional,SNCF,FR,FR,True,1
OCESN117779F1187_F:TER:FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084::87713040:87722025:11:2300:20261101,Jour,175.8,2.18,,Regional,SNCF,FR,FR,True,1
OCESN12102F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1905:20261210,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,2
OCESN12102F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1905:20261211,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,2
OCESN12105F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1111:20261210,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,2
OCESN12105F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1111:20261205,Jour,395.5,1.93,,TGV inOui,SNCF,FR,FR,True,2
OCESN12105F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1111:20261209,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,2
OCESN12105F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1111:20261212,Jour,395.5,1.93,,TGV inOui,SNCF,FR,FR,True,1
OCESN12105F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1111:20261116,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
OCESN12107F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:2040:20261121,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
